"%Acm. Venda";"Código Empresa";"Empresa : Nível 4";"Venda Quantidade";"Venda Itens";"Unitário Médio";"Venda Valor";"Venda % Partic.";"Promoções Valor Venda";"Promoc. % Partic.";"% Partic. Prom./Vda.";"Lucratividade Unit.";"Lucratividade Valor";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Compror";"Comissão";"Impostos Venda";"Valor IBS  Municipal";"Valor IBS  Estadual";"Valor CBS";"Valor IS";"Contribuição Valor";"Contrib. % Partic.";"Contrib. Marg %*";"Peso Bruto";"Peso Brt %Partic.";"Peso Líquido";"Volume M ³";"Valor Venda Por M³";"Despesa Fixa";"Desconto Fixo";"Vlr Descto Fora de NF"
"25,14";"8";"08 - MAGARÇA : MERCEARIA \ CONSERVAS \ MOLHOS \ MOLHO SHOYU";"131,000";"6";"5,86";"768,07";"0,00";"12,77";"0,00";"1,66";"2,08";"272,78";"0,00";"35,51";"67,72";"40,38";"457,95";"424,24";"0,00";"0,00";"0,00";"71,05";"0,00";"0,04";"0,85";"0,00";"272,78";"0,00";"39,13";"22,662";"0,00";"7,800";"0,004";"192.017,500";"0,00";"0,00";"0,00"
"25,14";"8";"08 - MAGARÇA : MERCEARIA \ CONSERVAS \ MOLHOS \ MOLHO VERDE";"20,000";"1";"7,49";"149,80";"0,00";"0,00";"0,00";"0,00";"2,40";"48,03";"0,00";"32,06";"57,68";"36,58";"95,00";"87,91";"0,00";"0,00";"0,00";"13,86";"0,00";"0,03";"0,18";"0,00";"48,03";"0,00";"35,33";"4,600";"0,00";"4,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"25,14";"8";"08 - MAGARÇA : MERCEARIA \ CONSERVAS \ MOLHOS \ MOSTARDAS";"264,000";"10";"9,11";"2.403,72";"0,00";"114,54";"0,00";"4,77";"3,04";"803,40";"0,00";"33,42";"68,94";"40,81";"1.422,83";"1.326,31";"0,00";"0,00";"0,00";"274,02";"0,00";"0,28";"3,21";"0,00";"803,40";"0,00";"37,72";"74,087";"0,00";"28,820";"0,000";"0,000";"0,00";"0,00";"0,00"
"25,14";"8";"08 - MAGARÇA : MERCEARIA \ CONSERVAS \ PASTAS \ PASTAS CONSERVA";"3,000";"2";"13,78";"41,35";"0,00";"0,00";"0,00";"0,00";"3,73";"11,18";"0,00";"27,04";"47,26";"32,09";"28,08";"25,14";"0,00";"0,00";"0,00";"5,03";"0,00";"0,00";"0,00";"0,00";"11,18";"0,00";"30,78";"0,000";"0,00";"0,660";"0,000";"0,000";"0,00";"0,00";"0,00"
"25,14";"8";"08 - MAGARÇA : MERCEARIA \ CONSERVAS \ PASTAS \ PATES CONSERVA";"80,000";"9";"10,27";"821,78";"0,00";"28,47";"0,00";"3,46";"3,09";"246,81";"0,00";"30,03";"58,46";"36,89";"518,59";"498,95";"0,00";"0,00";"0,00";"76,01";"0,00";"0,08";"0,72";"0,00";"246,81";"0,00";"33,09";"14,068";"0,00";"4,540";"0,004";"205.445,000";"0,00";"0,00";"0,00"
"25,15";"8";"08 - MAGARÇA : MERCEARIA \ CONSERVAS \ PESCADOS EM CONSERVA \ ATUM";"414,000";"18";"10,00";"4.140,10";"0,01";"118,66";"0,00";"2,87";"2,89";"1.197,07";"0,01";"28,91";"55,23";"35,58";"2.667,10";"2.560,07";"0,00";"0,00";"0,00";"382,96";"0,00";"0,57";"4,40";"0,00";"1.197,07";"0,01";"31,86";"82,203";"0,00";"52,450";"0,035";"118.288,571";"0,00";"0,00";"0,00"
"25,16";"8";"08 - MAGARÇA : MERCEARIA \ CONSERVAS \ PESCADOS EM CONSERVA \ SARDINHA";"1.209,000";"8";"6,52";"7.884,25";"0,01";"369,93";"0,00";"4,69";"1,60";"1.936,34";"0,01";"24,56";"47,04";"31,99";"5.361,89";"4.715,50";"0,00";"0,00";"0,00";"1.232,40";"0,00";"0,98";"8,20";"0,00";"1.936,34";"0,01";"29,11";"202,344";"0,00";"120,875";"0,077";"102.392,857";"0,00";"0,00";"0,00"
"25,16";"8";"08 - MAGARÇA : MERCEARIA \ CONSERVAS \ PRATOS PRONTOS \ ALMONDEGA";"10,000";"1";"13,98";"139,80";"0,00";"0,00";"0,00";"0,00";"4,07";"40,69";"0,00";"29,11";"48,96";"32,87";"93,85";"86,18";"0,00";"0,00";"0,00";"12,93";"0,00";"0,04";"0,44";"0,00";"40,69";"0,00";"32,07";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"25,16";"8";"08 - MAGARÇA : MERCEARIA \ CONSERVAS \ PRATOS PRONTOS \ FEIJOADA";"5,000";"1";"14,98";"74,90";"0,00";"0,00";"0,00";"0,00";"4,41";"22,05";"0,00";"29,44";"49,77";"33,23";"50,01";"45,92";"0,00";"0,00";"0,00";"6,93";"0,00";"0,00";"0,00";"0,00";"22,05";"0,00";"32,44";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"25,16";"8";"08 - MAGARÇA : MERCEARIA \ CONSERVAS \ PRATOS PRONTOS \ FIAMBRE";"16,000";"1";"12,98";"207,68";"0,00";"0,00";"0,00";"0,00";"3,65";"58,43";"0,00";"28,13";"46,65";"31,81";"141,62";"130,04";"0,00";"0,00";"0,00";"19,21";"0,00";"0,02";"0,22";"0,00";"58,43";"0,00";"31,00";"0,000";"0,00";"5,120";"0,000";"0,000";"0,00";"0,00";"0,00"
"25,16";"8";"08 - MAGARÇA : MERCEARIA \ CONSERVAS \ PRATOS PRONTOS \ SALSICHA EM CONSERVA";"74,000";"4";"5,88";"434,82";"0,00";"0,00";"0,00";"0,00";"1,68";"124,48";"0,00";"28,63";"51,22";"33,87";"287,54";"242,67";"0,00";"0,00";"0,00";"67,66";"0,00";"0,02";"0,36";"0,00";"124,48";"0,00";"33,90";"14,758";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"25,16";"8";"08 - MAGARÇA : MERCEARIA \ CONSERVAS \ SAL \ SAL ESPECIAL";"88,000";"9";"9,08";"799,24";"0,00";"0,00";"0,00";"0,00";"2,68";"235,48";"0,00";"29,46";"50,65";"33,62";"530,54";"488,81";"0,00";"0,00";"0,00";"74,95";"0,00";"0,15";"1,05";"0,00";"235,48";"0,00";"32,51";"22,425";"0,00";"0,250";"0,000";"0,000";"0,00";"0,00";"0,00"
"25,16";"8";"08 - MAGARÇA : MERCEARIA \ CONSERVAS \ SAL \ SAL GROSSO";"244,000";"8";"5,92";"1.444,15";"0,00";"0,00";"0,00";"0,00";"2,34";"571,11";"0,00";"39,55";"93,72";"48,38";"745,47";"690,83";"0,00";"0,00";"0,00";"182,21";"0,00";"0,13";"0,87";"0,00";"571,11";"0,00";"45,26";"201,191";"0,00";"86,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"25,17";"8";"08 - MAGARÇA : MERCEARIA \ CONSERVAS \ SAL \ SAL REFINADO";"1.402,000";"8";"4,58";"6.415,30";"0,01";"6,99";"0,00";"0,11";"2,01";"2.818,08";"0,01";"43,93";"129,64";"56,45";"2.793,62";"2.595,39";"0,00";"0,00";"0,00";"1.001,83";"0,00";"0,02";"0,11";"0,00";"2.818,08";"0,01";"52,06";"1.421,404";"0,03";"3,200";"0,000";"0,000";"0,00";"0,00";"0,00"
"25,17";"8";"08 - MAGARÇA : MERCEARIA \ CONSERVAS \ SOPAS E CREMES \ CREME";"142,000";"6";"7,91";"1.123,13";"0,00";"90,87";"0,00";"8,09";"1,90";"269,56";"0,00";"24,00";"67,50";"40,30";"670,54";"524,93";"0,00";"0,00";"0,00";"328,64";"0,00";"0,03";"0,79";"0,00";"269,56";"0,00";"33,93";"7,364";"0,00";"7,504";"0,000";"0,000";"0,00";"0,00";"0,00"
