"%Acm. Venda";"Código Empresa";"Empresa : Nível 4";"Venda Quantidade";"Venda Itens";"Unitário Médio";"Venda Valor";"Venda % Partic.";"Promoções Valor Venda";"Promoc. % Partic.";"% Partic. Prom./Vda.";"Lucratividade Unit.";"Lucratividade Valor";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Compror";"Comissão";"Impostos Venda";"Valor IBS  Municipal";"Valor IBS  Estadual";"Valor CBS";"Valor IS";"Contribuição Valor";"Contrib. % Partic.";"Contrib. Marg %*";"Peso Bruto";"Peso Brt %Partic.";"Peso Líquido";"Volume M ³";"Valor Venda Por M³";"Despesa Fixa";"Desconto Fixo";"Vlr Descto Fora de NF"
"46,92";"10";"10 - BARRA : PERECIVEIS \ LATICINIOS \ QUEIJOS \ QUEIJO PARMESAO";"6.837,922";"32";"13,32";"91.079,06";"0,12";"31.242,89";"0,04";"34,30";"3,31";"22.658,56";"0,12";"24,88";"54,03";"35,08";"59.129,61";"48.141,93";"0,00";"0,00";"0,00";"20.278,58";"0,00";"56,31";"639,68";"0,00";"22.658,56";"0,12";"32,00";"510,467";"0,01";"416,560";"0,103";"884.262,718";"0,00";"0,00";"0,00"
"47,04";"10";"10 - BARRA : PERECIVEIS \ LATICINIOS \ QUEIJOS \ QUEIJO PRATO";"2.365,252";"19";"38,69";"91.515,65";"0,12";"14.773,91";"0,02";"16,14";"10,05";"23.770,20";"0,12";"25,97";"58,98";"37,10";"57.564,46";"47.658,99";"0,00";"0,00";"0,00";"20.086,46";"0,00";"70,30";"617,31";"0,00";"23.770,20";"0,12";"33,28";"969,156";"0,02";"911,804";"0,001";"91.515.650,000";"0,00";"0,00";"0,90"
"47,06";"10";"10 - BARRA : PERECIVEIS \ LATICINIOS \ QUEIJOS \ QUEIJO PROCESSADO";"840,202";"16";"13,82";"11.610,64";"0,02";"2.893,92";"0,00";"24,92";"3,46";"2.904,95";"0,01";"25,02";"67,75";"40,39";"6.921,55";"5.826,74";"0,00";"0,00";"0,00";"2.878,95";"0,00";"8,53";"78,57";"0,00";"2.904,95";"0,01";"33,27";"133,433";"0,00";"102,272";"0,004";"2.902.660,000";"0,00";"0,00";"0,00"
"47,07";"10";"10 - BARRA : PERECIVEIS \ LATICINIOS \ QUEIJOS \ QUEIJO PROVOLONE";"139,385";"9";"40,21";"5.604,12";"0,01";"0,00";"0,00";"0,00";"10,46";"1.458,34";"0,01";"26,02";"54,73";"35,37";"3.621,94";"2.865,14";"0,00";"0,00";"0,00";"1.280,65";"0,00";"4,23";"36,83";"0,00";"1.458,34";"0,01";"33,73";"14,510";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,07";"10";"10 - BARRA : PERECIVEIS \ LATICINIOS \ QUEIJOS \ QUEIJO REINO";"4,948";"2";"117,77";"582,74";"0,00";"0,00";"0,00";"0,00";"26,93";"133,27";"0,00";"22,87";"61,50";"38,08";"360,83";"304,43";"0,00";"0,00";"0,00";"145,04";"0,00";"0,42";"3,94";"0,00";"133,27";"0,00";"30,45";"0,000";"0,00";"0,000";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,07";"10";"10 - BARRA : PERECIVEIS \ LATICINIOS \ QUEIJOS \ QUEIJO SUICO";"8,000";"1";"16,98";"135,84";"0,00";"0,00";"0,00";"0,00";"3,76";"30,10";"0,00";"22,16";"62,02";"38,28";"83,84";"66,02";"0,00";"0,00";"0,00";"39,72";"0,00";"0,08";"0,88";"0,00";"30,10";"0,00";"31,31";"1,000";"0,00";"0,880";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,10";"10";"10 - BARRA : PERECIVEIS \ LATICINIOS \ QUEIJOS \ QUEIJOS ESPECIAIS";"392,318";"34";"48,67";"19.094,69";"0,03";"0,00";"0,00";"0,00";"11,60";"4.550,58";"0,02";"23,83";"67,26";"40,21";"11.416,49";"9.166,73";"0,00";"0,00";"0,00";"5.377,38";"0,00";"11,36";"101,01";"0,00";"4.550,58";"0,02";"33,17";"48,813";"0,00";"48,084";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,10";"10";"10 - BARRA : PERECIVEIS \ LATICINIOS \ QUEIJOS \ QUEIJOS TIPO RICOTAS";"114,566";"7";"32,52";"3.725,66";"0,00";"0,00";"0,00";"0,00";"7,67";"878,91";"0,00";"23,59";"61,29";"38,00";"2.309,88";"2.027,00";"0,00";"0,00";"0,00";"819,75";"0,00";"0,18";"1,82";"0,00";"878,91";"0,00";"30,25";"0,000";"0,00";"3,753";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,23";"10";"10 - BARRA : PERECIVEIS \ LATICINIOS \ QUEIJOS \ REQUEIJAO";"7.250,332";"62";"13,62";"98.713,72";"0,13";"46.242,90";"0,06";"46,85";"3,45";"25.000,86";"0,13";"25,33";"59,00";"37,11";"62.082,88";"51.957,14";"0,00";"0,00";"0,00";"21.755,73";"0,00";"0,18";"1,94";"0,00";"25.000,86";"0,13";"32,49";"2.249,173";"0,05";"1.415,860";"0,116";"850.980,345";"0,00";"0,00";"0,00"
"47,23";"10";"10 - BARRA : PERECIVEIS \ LATICINIOS \ SOBREMESA REFRIGERADA \ SOBREM REFRIG FLAN PUDIM";"558,000";"7";"5,85";"3.262,13";"0,00";"694,83";"0,00";"21,30";"1,62";"902,89";"0,00";"27,68";"63,50";"38,84";"1.995,20";"1.405,25";"0,00";"0,00";"0,00";"953,99";"0,00";"1,52";"20,19";"0,00";"902,89";"0,00";"39,12";"98,397";"0,00";"72,800";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,24";"10";"10 - BARRA : PERECIVEIS \ LATICINIOS \ SOBREMESA REFRIGERADA \ SOBREM REFRIG LACTEA";"468,000";"13";"12,04";"5.635,51";"0,01";"3.365,20";"0,00";"59,71";"2,86";"1.340,64";"0,01";"23,79";"59,98";"37,49";"3.522,57";"2.647,16";"0,00";"0,00";"0,00";"1.647,71";"0,00";"3,57";"36,34";"0,00";"1.340,64";"0,01";"33,62";"154,721";"0,00";"124,350";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,24";"10";"10 - BARRA : PERECIVEIS \ LATICINIOS \ SOBREMESA REFRIGERADA \ SOBREM REFRIG QUEIJO";"241,000";"3";"2,99";"720,59";"0,00";"720,59";"0,00";"100,00";"0,79";"191,31";"0,00";"26,55";"51,78";"34,11";"474,77";"370,26";"0,00";"0,00";"0,00";"159,02";"0,00";"0,00";"0,00";"0,00";"191,31";"0,00";"34,07";"25,305";"0,00";"24,100";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,27";"10";"10 - BARRA : PERECIVEIS \ LEITES \ BEBIDA LACTEA UHT \ BEB LACTEA UHT CHOCOLATE";"6.582,000";"15";"3,07";"20.206,48";"0,03";"11.320,87";"0,01";"56,03";"1,04";"6.849,48";"0,03";"33,90";"51,28";"33,90";"13.357,00";"13.357,00";"0,00";"0,00";"0,00";"0,00";"0,00";"8,25";"184,58";"0,00";"6.849,48";"0,03";"33,90";"1.530,786";"0,03";"598,220";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,38";"10";"10 - BARRA : PERECIVEIS \ LEITES \ BEBIDA LACTEA UHT \ BEB LACTEA UHT ESPECIAL";"11.345,000";"39";"7,10";"80.587,35";"0,11";"76.231,18";"0,10";"94,59";"1,49";"16.893,60";"0,09";"20,96";"26,52";"20,96";"63.693,75";"63.693,75";"0,00";"0,00";"0,00";"0,00";"0,00";"110,61";"696,85";"0,00";"16.893,60";"0,09";"20,96";"3.174,134";"0,07";"2.227,850";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,38";"10";"10 - BARRA : PERECIVEIS \ LEITES \ BEBIDA LACTEA UHT \ BEB LACTEA UHT SABORES";"188,000";"3";"6,12";"1.150,08";"0,00";"1.006,56";"0,00";"87,52";"1,21";"228,13";"0,00";"19,84";"24,74";"19,84";"921,95";"921,95";"0,00";"0,00";"0,00";"0,00";"0,00";"1,48";"10,12";"0,00";"228,13";"0,00";"19,84";"54,461";"0,00";"11,200";"0,000";"0,000";"0,00";"0,00";"0,00"
"47,38";"10";"10 - BARRA : PERECIVEIS \ LEITES \ COALHADA \ COALHADA";"118,000";"4";"5,97";"704,89";"0,00";"0,00";"0,00";"0,00";"1,56";"184,44";"0,00";"26,17";"62,29";"38,38";"434,33";"365,04";"0,00";"0,00";"0,00";"155,41";"0,00";"0,15";"4,76";"0,00";"184,44";"0,00";"33,57";"19,414";"0,00";"10,240";"0,000";"0,000";"0,00";"0,00";"0,00"
